,date,content
86,2022-10-19 17:44:16+00:00,@DevendraBhatn10 Bjp haaregi?
87,2022-10-19 17:44:07+00:00,@shaandelhite Kejriwal's old tactic to prove his strength. All captive audiences brought from nearby states at the behest of BJP.
88,2022-10-19 17:43:45+00:00,"@AamAadmiParty Pura episode delh lena bhai log. 

50 logo se pucha, 45 ne BJP bola 5 ne AAP. Bus yehi ratio hai."
89,2022-10-19 17:43:05+00:00,"@Tejasvi_Surya Need of hour!
@BJP4India need to strengthen their party in Bihar &amp; have face like @myogiadityanath jee because we bihari aren't happy with currently leaders of bjp in Bihar.
@girirajsinghbjp @rsprasad can be good choice for CM face"
90,2022-10-19 17:42:55+00:00,@ravibhadoria @tarunchughbjp @BJP4India Congratulations 🎉
91,2022-10-19 17:41:23+00:00,"BJP के संपर्क में नीतीश कुमार, प्रशांत किशोर का दावा- कभी भी मार सकते हैं पलटी

#BiharNews | #HindiNews | #NitishKumar 

https://t.co/ld49NeRpQD"
92,2022-10-19 17:41:13+00:00,"@pktresath @geetv79 Sir. Release of the rapists was done by BJP for political gains . To divert agenda from inflation, poverty, unemployment &amp;  education standards. If AAP foolishly responds to their agenda we do not gain Electorally. To showcase our model we have to get elected. We r the A team Sir"
93,2022-10-19 17:40:34+00:00,@IamAjaySehrawat Jaise Delhi aur Punjab mein BJP ki Sarkar bani...thik waisi hi Gujrat mein banegi abki baar...Jhadu badhiya se safai karegi!
94,2022-10-19 17:39:31+00:00,@kapsology Bjp.
95,2022-10-19 17:39:15+00:00,"@SushilModi @News18Bihar @ZeeBiharNews @firstbiharnews @ANI Bihar students and students from all over the country is waiting for #UPSCExtraAttempt sirji.
Bihar mein to ahi BJP nahi lekin centre mein to aap ki sarkar hai.
Kuch to karo sirji kitna aur intezaar karaoge.
Students hain bhikhari nahi hain sirji."
96,2022-10-19 17:37:15+00:00,"टीवी पर हो रहे बहस सुनकर
ऐसा लगता है मानो,
एक पर बोतल एक फ्री .. वाले स्कीम
का फायदा सबसे ज्यादा आपिये हीं उठाते हैं. 🤭🤭

@ANI @PTI_News @BBCHindi @BJP4India"
97,2022-10-19 17:37:12+00:00,@tarunchughbjp @aloksharmabjp59 @BJP4India @narendramodi @AmitShah @JPNadda @BJP4Himachal @jairamthakurbjp जय भाजपा तय भाजपा बार-बार भाजपा
98,2022-10-19 17:36:46+00:00,@AamAadmiParty @narendramodi @BJP4India अगर सच में इनका जन्म जनेऊ के साथ मनाया गया होगा तो ये बच्चो की कसम खाने वाले का नार्को ये पहले करवा लें। https://t.co/gVO3e4oaZp
99,2022-10-19 17:36:34+00:00,@NigarNawab BJP means Balaatkaari jantaa party
100,2022-10-19 17:36:31+00:00,"@amitmalviya Now it's time for #UPSCExtraAttempt

The arrogance of @DrJitendraSingh &amp; ignorance of @narendramodi @JPNadda @AmitShah and, hardwork &amp; dedication of @RahulGandhi @INCIndia is going to cost BJP very much

@BJP4India have made fun of students, they'll see what will happen to them. https://t.co/ozJ6DcOrfF"
101,2022-10-19 17:36:10+00:00,@IamAjaySehrawat Ab purv Congressi BJP ko defend karenge?
102,2022-10-19 17:36:07+00:00,"@APF_Ind @amitmalviya @mattoosanna @PulitzerPrizes Now it's time for #UPSCExtraAttempt

The arrogance of @DrJitendraSingh &amp; ignorance of @narendramodi @JPNadda @AmitShah and, hardwork &amp; dedication of @RahulGandhi @INCIndia is going to cost BJP very much

@BJP4India have made fun of students, they'll see what will happen to them. https://t.co/mmoCthzaFX"
103,2022-10-19 17:35:50+00:00,@NehaShalini2 @chitraaum @BJP4India @ShrichandSharma @ReporterNeetu @myogiadityanath @Uppolice @iSinghApurva @Kanchan_New1 @ImKuldeepRaghav Dekhte h ji kya hota h
104,2022-10-19 17:35:08+00:00,"#गुरदासपुर लोकसभा से #भाजपा #सांसद श्री @iamsunnydeol जी आपको #जन्मदिन  की हार्दिक शुभकामनाएं।🎂
ईश्वर से आपके अच्छे स्वास्थ्य एवं दीर्घायु जीवन की कामना करता हूँ। @narendramodi @Dattatreya
@BJP4India @BJPForGurugram
@drsanjaysbjp @mlkhattar https://t.co/rpKZsiM3gQ"
105,2022-10-19 17:34:53+00:00,"@narendramodi Now it's time for #UPSCExtraAttempt

The arrogance of @DrJitendraSingh &amp; ignorance of @narendramodi @JPNadda @AmitShah and, hardwork &amp; dedication of @RahulGandhi @INCIndia is going to cost BJP very much

@BJP4India have made fun of students, they'll see what will happen to them. https://t.co/4OuRmoEd2r"
106,2022-10-19 17:34:32+00:00,"Now it's time for #UPSCExtraAttempt

The arrogance of @DrJitendraSingh &amp; ignorance of @narendramodi @JPNadda @AmitShah and, hardwork &amp; dedication of @RahulGandhi @INCIndia is going to cost BJP very much

@BJP4India have made fun of students, they'll see what will happen to them. https://t.co/4A9nafQjWB"
