,date,content
85,2022-10-19 13:41:40+00:00,"मनीष सिसोदिया के बयान पर BJP का पलटवार, सांसद प्रवेश वर्मा ने दी नार्को टेस्ट की चुनौती https://t.co/0a6UDXvQtk"
86,2022-10-19 13:31:04+00:00,@AamAadmiParty @narendramodi @BJP4India बिलकिस बानो बहन के इंसाफ पर शब्द नही निकलते..भाजपा की B टीम का उद्देश्य सब समझ चुके है
87,2022-10-19 13:30:35+00:00,Sir ji apani BJP me kab aise fair ELECTION kar PRESIDENT  banayenge https://t.co/UnpsaaVsOv
88,2022-10-19 13:29:25+00:00,@zoo_bear AAP is a distraction created by Sangh. Pure B Team of BJP
89,2022-10-19 13:28:25+00:00,"आज मुलाकात में आदरणीय सिंधिया जी ने अपने दादा स्वर्गीय महाराज #जीवाजी_राव_सिंधिया जी और #सरदार_वल्लभ_भाई_पटेल के मध्य के  घनिष्ठ संबंधों के बारे में विस्तार से बात की ।

आदरणीय महाराज साहब आप का ह्रदय से आभार ।1/2
@JM_Scindia @BJP4MP @BJP4India"
90,2022-10-19 13:28:24+00:00,"आज दिल्ली में हम सब के चहेते नेता आदरणीय @JM_Scindia जी से मुलाकात कर ३१अक्टूबर को गढ़ाकोटा में आयोजित होने वाले  #लौह_पुरुष_सरदार_पटेल जी की मूर्ति स्थापना कार्यक्रम हेतु समस्त रहली विधानसभा वासियों की ओर से आमंत्रित किया ।1/2
@BJP4MP
@BJP4India https://t.co/1oqyCbeoFW"
91,2022-10-19 13:15:03+00:00,@bhupendrasingho @BJP4India @iamsunnydeol Happy birthday
92,2022-10-19 13:14:07+00:00,"@gauravbh और न से आप को भी समझना चाहिए नाथूराम गोडसे भी होता है 🤣🤣
@BJP4India @SupriyaShrinate 
@IYCMadhya  @INCIndia"
93,2022-10-19 13:06:50+00:00,"To MHA, GOVT of india, sir, in any election candidate, BJP list, atleast 10%muslim candidate be included, इससे मुस्लिम समाज का गरीब तबका भजपा से जुड़े गा, इससे पार्टी, देश के विकास और सथायित्व मै इजाफा हो गा, देश के सौहार्द और दोनों समाज की आपसी समझ बढेगी."
94,2022-10-19 13:00:18+00:00,@INCIndia @kharge @BJP4India @narendramodi @ https://t.co/z63kRsZ2KZ
95,2022-10-19 12:54:58+00:00,"इस दौरान साथ में माननीय मंत्री @DrPRChoudhary जी, विधायक  प्रेमशंकर जी वर्मा, भाजपा किसान मोर्चा के प्रदेश अध्यक्ष दर्शन सिंह जी चौधरी एवं समस्त पदाधिकारी गण मौजूद थे।
@Darshansinghch3 @BJP4MP @BJP4India @ChouhanShivraj @vdsharmabjp @HitanandSharma @PMuralidharRao @JansamparkMP https://t.co/T8VKHesDWc"
96,2022-10-19 12:52:34+00:00,"@ssrajputINC @INCIndia @BJP4India Surendra Sahab, 
East India Company never conducted polls."
97,2022-10-19 12:52:26+00:00,"@PMOIndia
@narendramodi @ChouhanShivraj
@vdsharmabjp
@GaurMalini @KailashOnline
@BJP4MP
@BJP4Indore @BJP4India
@JM_Scindia @aklavya
#pmmodi https://t.co/W9yqWQzNbV"
98,2022-10-19 12:51:28+00:00,"@WeekendInvestng It's a win win for both tharoor Saab and BJP ""if"" happens!!"
99,2022-10-19 12:48:50+00:00,@BoltaHindustan तो क्या bjp और मोदी शाह के नज़र में संस्कारी है वो यौन शोषण भी किया होगा तो संस्कार के साथ किया होगा
100,2022-10-19 12:46:12+00:00,"@ShubhamShuklaMP शीर्ष  नेतृत्व को देखकर bjp को vot करते है,
वरना चमन #तिये तो हर पार्टी में है.... 🤬"
101,2022-10-19 12:44:22+00:00,"Gujarat govt calls this as ""Good conduct"".
The same is what they expect from other BJP leaders too! https://t.co/oPICWnCTlM"
102,2022-10-19 12:36:02+00:00,"अगर कांग्रेस अध्यक्ष पद का चुनाव EVM से हुआ होता तो 
नड्डा जी कांग्रेस अध्यक्ष बन जाते..🤣🤣🤣
@BJP4India #congresspresidentelection2022 #चौकीदार"
103,2022-10-19 12:27:50+00:00,"वॉल स्ट्रीट जनरल ठिकाना, मोदी विरोधी राजनीति निशाना

#NirmalaSitharaman #PMModi #NarendraModi #FinanceInCommon2022 #Politics #bjp #Congress #tusharmehta #rakeshsasibhushan #Investment 

https://t.co/idT3T6cN5L"
104,2022-10-19 12:12:50+00:00,"शमशाबाद विधानसभा क्षेत्र के सतपाड़ा हॉट मण्डल मे प्रशासनिक अधिकारियों की उपस्थिति में शिविर लगाकर जन समस्याओं से अवगत होकर त्वरित निराकरण हेतु संबंधित अधिकारियों को निर्देशित की।
@ChouhanShivraj @vdsharmabjp @BJP4MP @BJP4India https://t.co/Z2pbiSni0O"
105,2022-10-19 12:12:37+00:00,@BJP_DrJatiya @narendramodi @AmitShah @JPNadda @blsanthosh दादा चरण स्पर्श प्रणाम👏
106,2022-10-19 12:08:10+00:00,"@narendramodi @INCIndia @kharge I know this is happiest day for you, all Hindus and @BJP4India . Mr. Kharge has declared India will be Hindu nation if BJP comes to power in 2024 which it will come anyway."
107,2022-10-19 12:07:21+00:00,"असल में तो BJP में सारे के सारे ‘रबर स्टैम्प’ ही हैं. जिनका भ्रष्टाचार का कोटा पूरा हो जाता है, उन्हें चुनाव के समय बदल कर लोगों को बरगलाने की ‘टेक्नीक’ हिमाचल की जनता समझ रही है. https://t.co/dmsyE1VnQt"
108,2022-10-19 12:05:31+00:00,"@narendramodi @INCIndia @kharge #NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP"
109,2022-10-19 12:05:23+00:00,"#NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP https://t.co/yzUx9m1b8e"
110,2022-10-19 11:58:35+00:00,"@narendramodi #NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP"
111,2022-10-19 11:58:31+00:00,"#NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP https://t.co/3qiSKFSZ9v"
112,2022-10-19 11:58:22+00:00,"@narendramodi #NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP"
113,2022-10-19 11:58:17+00:00,"#NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP https://t.co/ciedBlGrG4"
114,2022-10-19 11:58:12+00:00,"@narendramodi #NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP"
115,2022-10-19 11:58:08+00:00,"#NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP https://t.co/7u4GqjIek6"
116,2022-10-19 11:58:02+00:00,"@narendramodi #NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP"
117,2022-10-19 11:57:57+00:00,"#NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP https://t.co/BqZzHVyOca"
118,2022-10-19 11:50:52+00:00,"🪔 18 अक्टूबर से 21अक्टूबर तक कोर्सेस मात्र ₹299 ₹699 व  ₹999   सभी सुविधाएं के साथ।  
वीडियो देखे 👉🏻https://t.co/U31PFaFxNn

.
.
#financeminister #nirmalasitharaman #finance #narendramodi #bjp #news #budget #modi #economy #government  #unionbudget #indianeconomy https://t.co/ttXFwfOVbD"
119,2022-10-19 11:47:13+00:00,"Hindus are very happy that a wise man @kharge has become the @INCIndia president. He has declared that if @BJP4India &amp; @narendramodi comes to power again in 2024, India will become Hindu nation, who can stop that happening now!! BJP is Happy too. What could be more comfortable!!"
120,2022-10-19 11:46:43+00:00,"@raghav_chadha Biden handsomely defeated BJP in USA, the youth of USA diaplays its unequivocal lobe for biden."
121,2022-10-19 11:43:53+00:00,@DrMohanYadav51 @BJP4MP @BJP4India ॐ नमः शिवाय
122,2022-10-19 11:36:23+00:00,"@KailashOnline
चड्डा सिंह के अलावा कोई नहीं दिखा भाजपा को अध्यक्ष बनने के लायक - इसलिए चंगु मंगू ने - चड्डा सिंह को ही वापिस अध्यक्ष बना दिया 3 साल के लिए - (और हा उनका रिमोट भी उनके ही पास है जब चाहे मोदी / शाह को घर बिठादे.)
@KKMishraINC
@BJP4India
@AkhileshLY
@VikrantBhuria"
123,2022-10-19 11:33:58+00:00,`Be grateful you weren`t locked in bathroom`: BJP tells Tharoor after he flags `serious irregularities` in Congress presidential polls https://t.co/Wy38CJe9wp
124,2022-10-19 11:31:51+00:00,"@narendramodi #NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP"
125,2022-10-19 11:31:46+00:00,"#NarendraModi जी @narendramodi जी
#Dipesh_Bathra_BJP @dipeshbathraBJP https://t.co/bBOVo7GXsx"
